method,generation,samples,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_count,best_so_far_mean,best_so_far_std,best_so_far_min,best_so_far_max,fitness_ci_lower,fitness_ci_upper,best_ci_lower,best_ci_upper
random_search,48,98000,-2.7316,0.779,-4.704,-0.504,50,-2.7316,0.779,-4.704,-0.504,-2.9475277835573737,-2.515672216442626,-2.9475277835573737,-2.515672216442626
random_search,49,100000,-2.7196,0.7739,-4.704,-0.504,50,-2.7196,0.7739,-4.704,-0.504,-2.9341141356804252,-2.5050858643195744,-2.9341141356804252,-2.5050858643195744
random_search,50,102000,-2.6366,0.792,-4.451,-0.504,50,-2.6366,0.792,-4.451,-0.504,-2.8561311997143,-2.4170688002857,-2.8561311997143,-2.4170688002857
random_search,51,104000,-2.5996,0.8092,-4.451,-0.504,50,-2.5996,0.8092,-4.451,-0.504,-2.8238987964757727,-2.3753012035242276,-2.8238987964757727,-2.3753012035242276
random_search,52,106000,-2.5966,0.8033,-4.451,-0.504,50,-2.5966,0.8033,-4.451,-0.504,-2.819263399912244,-2.373936600087756,-2.819263399912244,-2.373936600087756
random_search,53,108000,-2.5786,0.8124,-4.451,-0.504,50,-2.5786,0.8124,-4.451,-0.504,-2.8037857912220927,-2.353414208777907,-2.8037857912220927,-2.353414208777907
random_search,54,110000,-2.4925,0.7649,-4.451,-0.504,50,-2.4925,0.7649,-4.451,-0.504,-2.7045194629563993,-2.280480537043601,-2.7045194629563993,-2.280480537043601
random_search,55,112000,-2.4835,0.7547,-4.451,-0.504,50,-2.4835,0.7547,-4.451,-0.504,-2.692692167202503,-2.2743078327974966,-2.692692167202503,-2.2743078327974966
random_search,56,114000,-2.4835,0.7547,-4.451,-0.504,50,-2.4835,0.7547,-4.451,-0.504,-2.692692167202503,-2.2743078327974966,-2.692692167202503,-2.2743078327974966
random_search,57,116000,-2.4555,0.7759,-4.451,-0.504,50,-2.4555,0.7759,-4.451,-0.504,-2.6705685073968755,-2.240431492603124,-2.6705685073968755,-2.240431492603124
random_search,58,118000,-2.4465,0.7611,-4.201,-0.504,50,-2.4465,0.7611,-4.201,-0.504,-2.657466156695144,-2.235533843304856,-2.657466156695144,-2.235533843304856
random_search,59,120000,-2.4365,0.7406,-3.703,-0.504,50,-2.4365,0.7406,-3.703,-0.504,-2.6417838466015287,-2.2312161533984716,-2.6417838466015287,-2.2312161533984716
random_search,60,122000,-2.3885,0.7115,-3.703,-0.504,50,-2.3885,0.7115,-3.703,-0.504,-2.585717738127178,-2.1912822618728223,-2.585717738127178,-2.1912822618728223
random_search,61,124000,-2.3845,0.7089,-3.703,-0.504,50,-2.3845,0.7089,-3.703,-0.504,-2.5809970548957923,-2.188002945104208,-2.5809970548957923,-2.188002945104208
random_search,62,126000,-2.3845,0.7089,-3.703,-0.504,50,-2.3845,0.7089,-3.703,-0.504,-2.5809970548957923,-2.188002945104208,-2.5809970548957923,-2.188002945104208
random_search,63,128000,-2.3676,0.7027,-3.703,-0.504,50,-2.3676,0.7027,-3.703,-0.504,-2.5623785025747963,-2.1728214974252036,-2.5623785025747963,-2.1728214974252036
random_search,64,130000,-2.3676,0.7027,-3.703,-0.504,50,-2.3676,0.7027,-3.703,-0.504,-2.5623785025747963,-2.1728214974252036,-2.5623785025747963,-2.1728214974252036
random_search,65,132000,-2.3396,0.7063,-3.703,-0.504,50,-2.3396,0.7063,-3.703,-0.504,-2.5353763716644067,-2.143823628335593,-2.5353763716644067,-2.143823628335593
random_search,66,134000,-2.3195,0.68,-3.703,-0.504,50,-2.3195,0.68,-3.703,-0.504,-2.507986383593086,-2.1310136164069142,-2.507986383593086,-2.1310136164069142
random_search,67,136000,-2.3135,0.6734,-3.703,-0.504,50,-2.3135,0.6734,-3.703,-0.504,-2.5001569569288002,-2.1268430430711995,-2.5001569569288002,-2.1268430430711995
random_search,68,138000,-2.3135,0.6734,-3.703,-0.504,50,-2.3135,0.6734,-3.703,-0.504,-2.5001569569288002,-2.1268430430711995,-2.5001569569288002,-2.1268430430711995
random_search,69,140000,-2.2665,0.6408,-3.602,-0.504,50,-2.2665,0.6408,-3.602,-0.504,-2.444120697950661,-2.0888793020493392,-2.444120697950661,-2.0888793020493392
random_search,70,142000,-2.2604,0.6389,-3.602,-0.504,50,-2.2604,0.6389,-3.602,-0.504,-2.4374940448200335,-2.083305955179967,-2.4374940448200335,-2.083305955179967
random_search,71,144000,-2.2455,0.6331,-3.602,-0.504,50,-2.2455,0.6331,-3.602,-0.504,-2.4209863668423273,-2.0700136331576724,-2.4209863668423273,-2.0700136331576724
random_search,72,146000,-2.2325,0.6239,-3.602,-0.504,50,-2.2325,0.6239,-3.602,-0.504,-2.4054362569466563,-2.0595637430533436,-2.4054362569466563,-2.0595637430533436
random_search,73,148000,-2.2325,0.6239,-3.602,-0.504,50,-2.2325,0.6239,-3.602,-0.504,-2.4054362569466563,-2.0595637430533436,-2.4054362569466563,-2.0595637430533436
random_search,74,150000,-2.2325,0.6239,-3.602,-0.504,50,-2.2325,0.6239,-3.602,-0.504,-2.4054362569466563,-2.0595637430533436,-2.4054362569466563,-2.0595637430533436
random_search,75,152000,-2.2075,0.5985,-3.602,-0.504,50,-2.2075,0.5985,-3.602,-0.504,-2.3733957361477382,-2.041604263852262,-2.3733957361477382,-2.041604263852262
random_search,76,154000,-2.2075,0.5985,-3.602,-0.504,50,-2.2075,0.5985,-3.602,-0.504,-2.3733957361477382,-2.041604263852262,-2.3733957361477382,-2.041604263852262
random_search,77,156000,-2.2075,0.5985,-3.602,-0.504,50,-2.2075,0.5985,-3.602,-0.504,-2.3733957361477382,-2.041604263852262,-2.3733957361477382,-2.041604263852262
random_search,78,158000,-2.2075,0.5985,-3.602,-0.504,50,-2.2075,0.5985,-3.602,-0.504,-2.3733957361477382,-2.041604263852262,-2.3733957361477382,-2.041604263852262
random_search,79,160000,-2.2075,0.5985,-3.602,-0.504,50,-2.2075,0.5985,-3.602,-0.504,-2.3733957361477382,-2.041604263852262,-2.3733957361477382,-2.041604263852262
random_search,80,162000,-2.2045,0.5994,-3.602,-0.504,50,-2.2045,0.5994,-3.602,-0.504,-2.370645203420141,-2.038354796579859,-2.370645203420141,-2.038354796579859
random_search,81,164000,-2.2025,0.6005,-3.602,-0.504,50,-2.2025,0.6005,-3.602,-0.504,-2.3689501078641886,-2.0360498921358117,-2.3689501078641886,-2.0360498921358117
random_search,82,166000,-2.2025,0.6005,-3.602,-0.504,50,-2.2025,0.6005,-3.602,-0.504,-2.3689501078641886,-2.0360498921358117,-2.3689501078641886,-2.0360498921358117
random_search,83,168000,-2.1955,0.5971,-3.602,-0.504,50,-2.1955,0.5971,-3.602,-0.504,-2.3610076759462233,-2.0299923240537767,-2.3610076759462233,-2.0299923240537767
random_search,84,170000,-2.1955,0.5971,-3.602,-0.504,50,-2.1955,0.5971,-3.602,-0.504,-2.3610076759462233,-2.0299923240537767,-2.3610076759462233,-2.0299923240537767
random_search,85,172000,-2.1955,0.5971,-3.602,-0.504,50,-2.1955,0.5971,-3.602,-0.504,-2.3610076759462233,-2.0299923240537767,-2.3610076759462233,-2.0299923240537767
random_search,86,174000,-2.1795,0.5881,-3.602,-0.504,50,-2.1795,0.5881,-3.602,-0.504,-2.342513003222197,-2.016486996777803,-2.342513003222197,-2.016486996777803
random_search,87,176000,-2.1795,0.5881,-3.602,-0.504,50,-2.1795,0.5881,-3.602,-0.504,-2.342513003222197,-2.016486996777803,-2.342513003222197,-2.016486996777803
random_search,88,178000,-2.1795,0.5881,-3.602,-0.504,50,-2.1795,0.5881,-3.602,-0.504,-2.342513003222197,-2.016486996777803,-2.342513003222197,-2.016486996777803
random_search,89,180000,-2.1795,0.5881,-3.602,-0.504,50,-2.1795,0.5881,-3.602,-0.504,-2.342513003222197,-2.016486996777803,-2.342513003222197,-2.016486996777803
random_search,90,182000,-2.1505,0.546,-3.202,-0.504,50,-2.1505,0.546,-3.202,-0.504,-2.301843478590919,-1.999156521409081,-2.301843478590919,-1.999156521409081
random_search,91,184000,-2.1476,0.5464,-3.202,-0.504,50,-2.1476,0.5464,-3.202,-0.504,-2.2990543529342093,-1.996145647065791,-2.2990543529342093,-1.996145647065791
random_search,92,186000,-2.1455,0.5445,-3.202,-0.504,50,-2.1455,0.5445,-3.202,-0.504,-2.2964276998035817,-1.9945723001964186,-2.2964276998035817,-1.9945723001964186
random_search,93,188000,-2.1455,0.5445,-3.202,-0.504,50,-2.1455,0.5445,-3.202,-0.504,-2.2964276998035817,-1.9945723001964186,-2.2964276998035817,-1.9945723001964186
random_search,94,190000,-2.1455,0.5445,-3.202,-0.504,50,-2.1455,0.5445,-3.202,-0.504,-2.2964276998035817,-1.9945723001964186,-2.2964276998035817,-1.9945723001964186
random_search,95,192000,-2.1355,0.5424,-3.202,-0.504,50,-2.1355,0.5424,-3.202,-0.504,-2.2858456095013087,-1.9851543904986912,-2.2858456095013087,-1.9851543904986912
random_search,96,194000,-2.1355,0.5424,-3.202,-0.504,50,-2.1355,0.5424,-3.202,-0.504,-2.2858456095013087,-1.9851543904986912,-2.2858456095013087,-1.9851543904986912
random_search,97,196000,-2.1355,0.5424,-3.202,-0.504,50,-2.1355,0.5424,-3.202,-0.504,-2.2858456095013087,-1.9851543904986912,-2.2858456095013087,-1.9851543904986912
random_search,98,198000,-2.1354,0.5424,-3.202,-0.504,50,-2.1354,0.5424,-3.202,-0.504,-2.285745609501309,-1.9850543904986915,-2.285745609501309,-1.9850543904986915
random_search,99,200000,-2.1354,0.5424,-3.202,-0.504,50,-2.1354,0.5424,-3.202,-0.504,-2.285745609501309,-1.9850543904986915,-2.285745609501309,-1.9850543904986915
