method,generation,samples,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_count,best_so_far_mean,best_so_far_std,best_so_far_min,best_so_far_max,fitness_ci_lower,fitness_ci_upper,best_ci_lower,best_ci_upper
ga,34,70000,-0.2793,0.6057,-2.302,-0.001,50,-0.2613,0.6002,-2.302,-0.001,-0.4471914743269592,-0.11140852567304077,-0.42766695210672095,-0.094933047893279
ga,35,72000,-0.2632,0.5872,-2.302,-0.001,50,-0.2452,0.581,-2.302,-0.001,-0.42596353594979436,-0.10043646405020562,-0.4062449836287986,-0.08415501637120143
ga,36,74000,-0.2422,0.5435,-2.302,-0.001,50,-0.2242,0.5361,-2.302,-0.001,-0.3928505139453563,-0.09154948605464369,-0.3727993385944904,-0.07560066140550964
ga,37,76000,-0.2382,0.5393,-2.302,-0.001,50,-0.2242,0.5361,-2.302,-0.001,-0.3876863333408108,-0.0887136666591892,-0.3727993385944904,-0.07560066140550964
ga,38,78000,-0.2171,0.4868,-2.302,-0.001,50,-0.2031,0.4827,-2.302,-0.001,-0.3520340757839916,-0.08216592421600835,-0.3368976137652686,-0.06930238623473137
ga,39,80000,-0.2151,0.4821,-2.302,-0.001,50,-0.2011,0.4778,-2.302,-0.001,-0.34873130225033355,-0.08146869774966647,-0.3335394030599655,-0.06866059694003451
ga,40,82000,-0.2061,0.465,-2.302,-0.001,50,-0.1921,0.4603,-2.302,-0.001,-0.33499142407468385,-0.07720857592531613,-0.3196886505410258,-0.06451134945897422
ga,41,84000,-0.2021,0.4473,-2.104,-0.001,50,-0.1881,0.4423,-2.104,-0.001,-0.32608523438409914,-0.07811476561590087,-0.3106993050929735,-0.06550069490702648
ga,42,86000,-0.1981,0.4437,-2.104,-0.001,50,-0.1881,0.4423,-2.104,-0.001,-0.32108736529448867,-0.07511263470551131,-0.3106993050929735,-0.06550069490702648
ga,43,88000,-0.1981,0.4437,-2.104,-0.001,50,-0.1881,0.4423,-2.104,-0.001,-0.32108736529448867,-0.07511263470551131,-0.3106993050929735,-0.06550069490702648
ga,44,90000,-0.1961,0.4388,-2.104,-0.001,50,-0.1861,0.4374,-2.104,-0.001,-0.31772915458918555,-0.07447084541081443,-0.3073410943876704,-0.06485890561232961
ga,45,92000,-0.1881,0.4292,-2.104,-0.001,50,-0.1781,0.4276,-2.104,-0.001,-0.3070681703502244,-0.06913182964977563,-0.29662467297706413,-0.05957532702293587
ga,46,94000,-0.1792,0.4175,-2.104,-0.001,50,-0.1692,0.4156,-2.104,-0.001,-0.29492509580899035,-0.06347490419100965,-0.2843984426783626,-0.05400155732163736
ga,47,96000,-0.1743,0.4065,-2.104,-0.001,50,-0.1643,0.4044,-2.104,-0.001,-0.28697605136851395,-0.061623948631486056,-0.2763939610662412,-0.0522060389337588
ga,48,98000,-0.1683,0.3961,-2.104,-0.001,50,-0.1583,0.3938,-2.104,-0.001,-0.2780933184429727,-0.058506681557027346,-0.26745579096905486,-0.049144209030945143
ga,49,100000,-0.1662,0.3859,-2.001,-0.001,50,-0.1562,0.3835,-2.001,-0.001,-0.27316602268907636,-0.05923397731092361,-0.2625007766293361,-0.04989922337066395
ga,50,102000,-0.1662,0.3859,-2.001,-0.001,50,-0.1562,0.3835,-2.001,-0.001,-0.27316602268907636,-0.05923397731092361,-0.2625007766293361,-0.04989922337066395
ga,51,104000,-0.1662,0.3859,-2.001,-0.001,50,-0.1562,0.3835,-2.001,-0.001,-0.27316602268907636,-0.05923397731092361,-0.2625007766293361,-0.04989922337066395
ga,52,106000,-0.1662,0.3859,-2.001,-0.001,50,-0.1562,0.3835,-2.001,-0.001,-0.27316602268907636,-0.05923397731092361,-0.2625007766293361,-0.04989922337066395
ga,53,108000,-0.1632,0.3717,-1.851,-0.001,50,-0.1532,0.3691,-1.851,-0.001,-0.26622998350227955,-0.060170016497720455,-0.25550930027089425,-0.05089069972910577
ga,54,110000,-0.1632,0.3717,-1.851,-0.001,50,-0.1532,0.3691,-1.851,-0.001,-0.26622998350227955,-0.060170016497720455,-0.25550930027089425,-0.05089069972910577
ga,55,112000,-0.1582,0.3644,-1.801,-0.001,50,-0.1522,0.3645,-1.801,-0.001,-0.25920652673723615,-0.057193473262763875,-0.25323424532305866,-0.05116575467694136
ga,56,114000,-0.1292,0.2753,-1.001,-0.001,50,-0.1242,0.2753,-1.001,-0.001,-0.20550926676937736,-0.052890733230622655,-0.20050926676937736,-0.04789073323062265
ga,57,116000,-0.1282,0.2733,-1.001,-0.001,50,-0.1232,0.2733,-1.001,-0.001,-0.2039548950529271,-0.05244510494707291,-0.1989548950529271,-0.04744510494707291
ga,58,118000,-0.1192,0.2522,-1.001,-0.001,50,-0.1142,0.252,-1.001,-0.001,-0.18910627344437692,-0.04929372655562307,-0.1840508362727319,-0.04434916372726809
ga,59,120000,-0.1192,0.2522,-1.001,-0.001,50,-0.1142,0.252,-1.001,-0.001,-0.18910627344437692,-0.04929372655562307,-0.1840508362727319,-0.04434916372726809
ga,60,122000,-0.1192,0.2522,-1.001,-0.001,50,-0.1142,0.252,-1.001,-0.001,-0.18910627344437692,-0.04929372655562307,-0.1840508362727319,-0.04434916372726809
ga,61,124000,-0.1192,0.2522,-1.001,-0.001,50,-0.1142,0.252,-1.001,-0.001,-0.18910627344437692,-0.04929372655562307,-0.1840508362727319,-0.04434916372726809
